year,month,per_treated,time,or,or_trend,imp,imp_trend,per_treated2,lag1_treat_ln
2009,1,0,1,0,0,0,0,0.018867925,0
2009,2,0.03030303,2,0,0,0,0,0.03030303,0
2009,3,0,3,0,0,0,0,0.018867925,0
2009,4,0,4,0,0,0,0,0.018867925,0
2009,5,0.060606061,5,0,0,0,0,0.060606061,0
2009,6,0,6,0,0,0,0,0.018867925,0
2009,7,0.045454545,7,0,0,0,0,0.045454545,0
2009,8,0.045454545,8,0,0,0,0,0.045454545,0
2009,9,0,9,0,0,0,0,0.018867925,0
2009,10,0.075757576,10,0,0,0,0,0.075757576,0
2009,11,0.045454545,11,0,0,0,0,0.045454545,0
2009,12,0.015151515,12,0,0,0,0,0.015151515,0
2010,1,0.03030303,13,0,0,0,0,0.03030303,0
2010,2,0,14,0,0,0,0,0.018867925,0
2010,3,0.015151515,15,0,0,0,0,0.015151515,0
2010,4,0.060606061,16,0,0,0,0,0.060606061,0
2010,5,0.060606061,17,0,0,0,0,0.060606061,0
2010,6,0.03030303,18,0,0,0,0,0.03030303,0
2010,7,0.015151515,19,0,0,0,0,0.015151515,0
2010,8,0.045454545,20,0,0,0,0,0.045454545,0
2010,9,0.015151515,21,0,0,0,0,0.015151515,0
2010,10,0.03030303,22,0,0,0,0,0.03030303,0
2010,11,0.03030303,23,0,0,0,0,0.03030303,0
2010,12,0.075757576,24,0,0,0,0,0.075757576,0
2011,1,0.060606061,25,1,1,0,0,0.060606061,0
2011,2,0.03030303,26,1,2,0,0,0.03030303,0
2011,3,0.060606061,27,1,3,0,0,0.060606061,0
2011,4,0.03030303,28,1,4,0,0,0.03030303,0
2011,5,0.060606061,29,1,5,0,0,0.060606061,0
2011,6,0.03030303,30,1,6,0,0,0.03030303,0
2011,7,0.060606061,31,1,7,0,0,0.060606061,0
2011,8,0.060606061,32,1,8,0,0,0.060606061,0
2011,9,0.075757576,33,1,9,0,0,0.075757576,0
2011,10,0.045454545,34,1,10,0,0,0.045454545,0
2011,11,0.075757576,35,1,11,0,0,0.075757576,0
2011,12,0.03030303,36,1,12,0,0,0.03030303,0
2012,1,0.045454545,37,1,13,0,0,0.045454545,0
2012,2,0.015151515,38,1,14,0,0,0.015151515,0
2012,3,0.121212121,39,1,15,0,0,0.121212121,0
2012,4,0.03030303,40,1,16,0,0,0.03030303,0
2012,5,0.045454545,41,1,17,0,0,0.045454545,0
2012,6,0.045454545,42,1,18,1,1,0.045454545,-3.091042453
2012,7,0.075757576,43,1,19,1,2,0.075757576,-3.091042453
2012,8,0.166666667,44,1,20,1,3,0.166666667,-2.58021683
2012,9,0.03030303,45,1,21,1,4,0.03030303,-1.791759469
2012,10,0.090909091,46,1,22,1,5,0.090909091,-3.496507561
2012,11,0.090909091,47,1,23,1,6,0.090909091,-2.397895273
2012,12,0.090909091,48,1,24,1,7,0.090909091,-2.397895273
2013,1,0.25,49,1,25,1,8,0.25,-2.397895273
2013,2,0.147058824,50,1,26,1,9,0.147058824,-1.386294361
2013,3,0.161764706,51,1,27,1,10,0.161764706,-1.916922612
2013,4,0.117647059,52,1,28,1,11,0.117647059,-1.821612432
2013,5,0.191176471,53,1,29,1,12,0.191176471,-2.140066163
2013,6,0.132352941,54,1,30,1,13,0.132352941,-1.654558348
